player in NPB,G_NPB,PA_NPB,AB_NPB,R_NPB,H_NPB,2B_NPB,3B_NPB,HR_NPB,RBI_NPB,SB_NPB,CS_NPB,BB_NPB,SO_NPB,BA_NPB,OBP_NPB,SLG_NPB,OPS_NPB,TB_NPB,GDP_NPB,HBP_NPB,SH_NPB,SF_NPB,IBB_NPB,HitperABNPB,TwoBaseHitABNPB,ThreeBaseHitABNPB,HRperABNPB,StolenBasePercentageNPB,BaseOnBallPercentageNPB,StrikeoutPercentageNPB
David Doster,112,339,309,35,84,14,0,9,27,3,0,19,57,0.272,0.315,0.405,0.72,125,14,1,9,1,6.0,0.27184466019417475,0.045307443365695796,0.0,0.02912621359223301,0.0012897678417884782,0.061488673139158574,0.18446601941747573
Jon Zuber,92,266,232,19,72,14,2,2,27,1,0,30,29,0.31,0.387,0.414,0.8009999999999999,96,10,1,0,3,0.0,0.3103448275862069,0.0603448275862069,0.008620689655172414,0.008620689655172414,0.0004299226139294927,0.12931034482758622,0.125
Scott Bullett,49,154,149,19,30,8,1,7,15,2,1,5,45,0.201,0.22699999999999998,0.409,0.637,61,3,0,0,0,0.0,0.20134228187919462,0.053691275167785234,0.006711409395973154,0.04697986577181208,0.0008598452278589854,0.03355704697986577,0.30201342281879195
George Arias,639,2620,2364,348,612,122,3,161,436,13,6,216,604,0.259,0.322,0.517,0.8390000000000001,1223,41,16,0,24,14.0,0.25888324873096447,0.051607445008460234,0.0012690355329949238,0.06810490693739425,0.005588993981083405,0.09137055837563451,0.25549915397631134
Derrick White,73,248,220,19,50,10,0,7,21,1,0,22,55,0.22699999999999998,0.31,0.368,0.679,81,8,5,0,1,1.0,0.22727272727272727,0.045454545454545456,0.0,0.031818181818181815,0.0004299226139294927,0.1,0.25
Mike Gulan,67,263,248,20,56,16,0,10,34,1,2,10,83,0.226,0.262,0.41100000000000003,0.674,102,4,3,0,2,0.0,0.22580645161290322,0.06451612903225806,0.0,0.04032258064516129,0.0004299226139294927,0.04032258064516129,0.3346774193548387
Ernie Young,32,124,110,15,19,3,0,8,16,0,0,10,39,0.17300000000000001,0.258,0.418,0.6759999999999999,46,4,3,0,1,0.0,0.17272727272727273,0.02727272727272727,0.0,0.07272727272727272,0.0,0.09090909090909091,0.35454545454545455
Alex Ochoa,765,3234,2933,372,847,153,5,97,416,17,19,255,474,0.289,0.35,0.444,0.794,1301,74,31,1,14,8.0,0.28878281622911695,0.05216501875213092,0.0017047391749062393,0.033071939993181046,0.007308684436801376,0.0869416979202182,0.16160927378111148
Jimmy Hurst,43,127,111,8,23,3,0,5,15,0,0,16,37,,,,,41,3,0,0,0,0.0,0.2072072072072072,0.02702702702702703,0.0,0.04504504504504504,0.0,0.14414414414414414,0.3333333333333333
Andy Sheets,682,2957,2694,413,778,152,4,95,374,6,10,216,626,0.289,0.342,0.45399999999999996,0.7959999999999999,1223,64,11,20,16,9.0,0.28878990348923533,0.05642167780252413,0.0014847809948032665,0.03526354862657758,0.0025795356835769563,0.0801781737193764,0.2323682256867112
