player in MLB,G_MLB,PA_MLB,AB_MLB,R_MLB,H_MLB,2B_MLB,3B_MLB,HR_MLB,RBI_MLB,SB_MLB,CS_MLB,BB_MLB,SO_MLB,BA_MLB,OBP_MLB,SLG_MLB,OPS_MLB,TB_MLB,GDP_MLB,HBP_MLB,SH_MLB,SF_MLB,IBB_MLB,HitperABMLB,TwoBaseHitABMLB,ThreeBaseHitABMLB,HRperABMLB,StolenBasePercentageMLB,BaseOnBallPercentageMLB,StrikeoutPercentageMLB
Jose Macias,659,1789,1646,201,422,77,17,26,173,43,21,93,243,0.256,0.298,0.371,0.669,611,29,10,28,12,1.0,0.25637910085054677,0.04678007290400972,0.010328068043742407,0.015795868772782502,0.011309836927932667,0.056500607533414335,0.14763061968408261
Jason Grabowski,190,335,301,35,59,8,1,11,33,1,0,33,85,0.196,0.275,0.33899999999999997,0.613,102,8,0,0,1,1.0,0.19601328903654486,0.026578073089700997,0.0033222591362126247,0.036544850498338874,0.0002630194634402946,0.10963455149501661,0.2823920265780731
Jeff Liefer,288,844,779,89,179,36,1,31,113,2,2,56,223,0.23,0.281,0.39799999999999996,0.679,310,17,2,1,6,4.0,0.22978177150192555,0.04621309370988447,0.0012836970474967907,0.03979460847240052,0.0005260389268805891,0.07188703465982028,0.2862644415917843
Eric Valent,205,450,406,50,95,20,2,13,37,0,1,41,101,0.23399999999999999,0.307,0.389,0.696,158,11,2,0,1,7.0,0.23399014778325122,0.04926108374384237,0.0049261083743842365,0.03201970443349754,0.0,0.10098522167487685,0.24876847290640394
Matt Watson,46,108,101,6,19,7,0,1,11,0,0,6,14,0.188,0.23399999999999999,0.287,0.521,29,2,0,1,0,0.0,0.18811881188118812,0.06930693069306931,0.0,0.009900990099009901,0.0,0.0594059405940594,0.13861386138613863
Brian Buchanan,346,857,767,105,198,37,3,32,103,9,7,73,210,0.258,0.32799999999999996,0.439,0.767,337,21,10,0,7,3.0,0.258148631029987,0.048239895697522815,0.003911342894393742,0.041720990873533245,0.002367175170962651,0.09517601043024772,0.2737940026075619
Adam Hyzdu,221,407,358,54,82,18,0,19,61,1,1,41,98,0.22899999999999998,0.31,0.439,0.7490000000000001,157,5,3,1,4,0.0,0.22905027932960895,0.05027932960893855,0.0,0.05307262569832402,0.0002630194634402946,0.11452513966480447,0.2737430167597765
Mitch Jones,8,15,13,1,4,1,0,0,0,0,0,0,6,0.308,0.4,0.385,0.785,5,0,2,0,0,0.0,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.0,0.46153846153846156
Chad Allen,267,928,851,102,229,44,8,14,84,15,13,63,173,0.26899999999999996,0.321,0.389,0.71,331,23,4,5,5,2.0,0.2690951821386604,0.05170387779083431,0.009400705052878966,0.01645123384253819,0.003945291951604419,0.07403055229142186,0.20329024676850763
Michael Restovich,152,297,268,37,64,13,3,6,21,1,0,28,68,0.239,0.313,0.377,0.69,101,10,1,0,0,0.0,0.23880597014925373,0.048507462686567165,0.011194029850746268,0.022388059701492536,0.0002630194634402946,0.1044776119402985,0.2537313432835821
