player in MLB,G_MLB,PA_MLB,AB_MLB,R_MLB,H_MLB,2B_MLB,3B_MLB,HR_MLB,RBI_MLB,SB_MLB,CS_MLB,BB_MLB,SO_MLB,BA_MLB,OBP_MLB,SLG_MLB,OPS_MLB,TB_MLB,GDP_MLB,HBP_MLB,SH_MLB,SF_MLB,IBB_MLB,HitperABMLB,TwoBaseHitABMLB,ThreeBaseHitABMLB,HRperABMLB,StolenBasePercentageMLB,BaseOnBallPercentageMLB,StrikeoutPercentageMLB,player in NPB,G_NPB,PA_NPB,AB_NPB,R_NPB,H_NPB,2B_NPB,3B_NPB,HR_NPB,RBI_NPB,SB_NPB,CS_NPB,BB_NPB,SO_NPB,BA_NPB,OBP_NPB,SLG_NPB,OPS_NPB,TB_NPB,GDP_NPB,HBP_NPB,SH_NPB,SF_NPB,IBB_NPB,HitperABNPB,TwoBaseHitABNPB,ThreeBaseHitABNPB,HRperABNPB,StolenBasePercentageNPB,BaseOnBallPercentageNPB,StrikeoutPercentageNPB
Ozzie Timmons,186,441,405,62,95,20,1,20,60,4,1,33,82,0.235,0.293,0.43700000000000006,0.73,177,11,1,1,1,2.0,0.2345679012345679,0.04938271604938271,0.0024691358024691358,0.04938271604938271,0.0010520778537611783,0.08148148148148149,0.20246913580246914,Ozzie Timmons,83,299,272,30,62,9,1,12,45,1,1,22,73,0.228,0.287,0.401,0.688,109,7,1,3,1,0.0,0.22794117647058823,0.03308823529411765,0.003676470588235294,0.04411764705882353,0.0004299226139294927,0.08088235294117647,0.26838235294117646
Ivan Cruz,41,58,55,5,15,1,0,2,8,0,0,3,17,0.273,0.31,0.4,0.71,22,1,0,0,0,0.0,0.2727272727272727,0.01818181818181818,0.0,0.03636363636363636,0.0,0.05454545454545454,0.3090909090909091,Ivan Cruz,141,515,464,40,106,13,1,25,68,1,0,45,122,0.228,0.303,0.42200000000000004,0.725,196,7,5,0,1,5.0,0.22844827586206898,0.028017241379310345,0.0021551724137931034,0.05387931034482758,0.0004299226139294927,0.09698275862068965,0.2629310344827586
Tom Evans,42,119,102,17,26,6,0,1,7,0,4,13,25,0.255,0.34700000000000003,0.34299999999999997,0.691,35,2,2,1,1,0.0,0.2549019607843137,0.058823529411764705,0.0,0.00980392156862745,0.0,0.12745098039215685,0.24509803921568626,Tom Evans,117,442,366,44,91,18,1,17,59,1,3,63,129,0.249,0.371,0.44299999999999995,0.8140000000000001,162,9,10,0,3,2.0,0.24863387978142076,0.04918032786885246,0.00273224043715847,0.04644808743169399,0.0004299226139294927,0.1721311475409836,0.3524590163934426
Eduardo Perez,754,2039,1800,238,445,88,3,79,294,19,13,194,393,0.247,0.326,0.431,0.757,776,53,24,6,15,8.0,0.24722222222222223,0.04888888888888889,0.0016666666666666668,0.04388888888888889,0.004997369805365597,0.10777777777777778,0.21833333333333332,Eduardo Perez,52,190,167,20,37,11,0,3,19,3,2,21,48,0.222,0.311,0.341,0.652,57,2,1,0,1,0.0,0.2215568862275449,0.0658682634730539,0.0,0.017964071856287425,0.0012897678417884782,0.12574850299401197,0.2874251497005988
Alex Ramirez ,135,350,332,38,86,17,3,12,48,3,1,15,78,0.259,0.293,0.43700000000000006,0.73,145,10,1,2,0,2.0,0.25903614457831325,0.05120481927710843,0.009036144578313253,0.03614457831325301,0.0007890583903208837,0.045180722891566265,0.23493975903614459,Alex Ramirez ,1744,7152,6708,866,2017,328,12,380,1272,20,19,308,1259,0.301,0.336,0.523,0.8590000000000001,3509,192,75,0,61,38.0,0.300685748360167,0.04889683959451401,0.0017889087656529517,0.056648777579010136,0.008598452278589854,0.045915324985092425,0.18768634466308884
David Doster,138,225,202,23,47,10,0,4,18,1,0,19,44,0.233,0.297,0.342,0.639,69,3,0,3,1,1.0,0.23267326732673269,0.04950495049504951,0.0,0.019801980198019802,0.0002630194634402946,0.09405940594059406,0.21782178217821782,David Doster,112,339,309,35,84,14,0,9,27,3,0,19,57,0.272,0.315,0.405,0.72,125,14,1,9,1,6.0,0.27184466019417475,0.045307443365695796,0.0,0.02912621359223301,0.0012897678417884782,0.061488673139158574,0.18446601941747573
Jon Zuber,68,151,136,13,34,7,1,3,16,1,0,12,20,0.25,0.313,0.382,0.696,52,4,1,1,1,1.0,0.25,0.051470588235294115,0.007352941176470588,0.022058823529411766,0.0002630194634402946,0.08823529411764706,0.14705882352941177,Jon Zuber,92,266,232,19,72,14,2,2,27,1,0,30,29,0.31,0.387,0.414,0.8009999999999999,96,10,1,0,3,0.0,0.3103448275862069,0.0603448275862069,0.008620689655172414,0.008620689655172414,0.0004299226139294927,0.12931034482758622,0.125
Scott Bullett,247,405,374,49,87,10,9,6,42,19,9,25,102,0.233,0.28300000000000003,0.35600000000000004,0.638,133,7,2,2,2,2.0,0.232620320855615,0.026737967914438502,0.02406417112299465,0.016042780748663103,0.004997369805365597,0.06684491978609626,0.2727272727272727,Scott Bullett,49,154,149,19,30,8,1,7,15,2,1,5,45,0.201,0.22699999999999998,0.409,0.637,61,3,0,0,0,0.0,0.20134228187919462,0.053691275167785234,0.006711409395973154,0.04697986577181208,0.0008598452278589854,0.03355704697986577,0.30201342281879195
George Arias,173,513,480,46,114,18,2,14,55,2,0,25,121,0.23800000000000002,0.278,0.371,0.649,178,14,2,6,0,2.0,0.2375,0.0375,0.004166666666666667,0.029166666666666667,0.0005260389268805891,0.052083333333333336,0.2520833333333333,George Arias,639,2620,2364,348,612,122,3,161,436,13,6,216,604,0.259,0.322,0.517,0.8390000000000001,1223,41,16,0,24,14.0,0.25888324873096447,0.051607445008460234,0.0012690355329949238,0.06810490693739425,0.005588993981083405,0.09137055837563451,0.25549915397631134
Derrick White,76,119,116,10,21,5,0,3,8,3,0,2,28,0.18100000000000002,0.20199999999999999,0.302,0.503,35,2,1,0,0,1.0,0.1810344827586207,0.04310344827586207,0.0,0.02586206896551724,0.0007890583903208837,0.017241379310344827,0.2413793103448276,Derrick White,73,248,220,19,50,10,0,7,21,1,0,22,55,0.22699999999999998,0.31,0.368,0.679,81,8,5,0,1,1.0,0.22727272727272727,0.045454545454545456,0.0,0.031818181818181815,0.0004299226139294927,0.1,0.25
Mike Gulan,11,18,15,3,0,0,0,0,1,0,0,3,7,0.0,0.16699999999999998,0.0,0.16699999999999998,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4666666666666667,Mike Gulan,67,263,248,20,56,16,0,10,34,1,2,10,83,0.226,0.262,0.41100000000000003,0.674,102,4,3,0,2,0.0,0.22580645161290322,0.06451612903225806,0.0,0.04032258064516129,0.0004299226139294927,0.04032258064516129,0.3346774193548387
Ernie Young,288,908,796,108,179,33,4,27,90,10,11,90,213,0.225,0.31,0.37799999999999995,0.688,301,25,11,5,6,0.0,0.22487437185929648,0.0414572864321608,0.005025125628140704,0.03391959798994975,0.0026301946344029457,0.11306532663316583,0.2675879396984925,Ernie Young,32,124,110,15,19,3,0,8,16,0,0,10,39,0.17300000000000001,0.258,0.418,0.6759999999999999,46,4,3,0,1,0.0,0.17272727272727273,0.02727272727272727,0.0,0.07272727272727272,0.0,0.09090909090909091,0.35454545454545455
Alex Ochoa,807,2387,2143,320,597,131,19,46,261,56,38,203,288,0.27899999999999997,0.344,0.42200000000000004,0.7659999999999999,904,45,19,7,15,7.0,0.27858142790480633,0.06112925804946337,0.008866075594960336,0.021465235650956604,0.014729089952656496,0.09472701819878675,0.1343910405972935,Alex Ochoa,765,3234,2933,372,847,153,5,97,416,17,19,255,474,0.289,0.35,0.444,0.794,1301,74,31,1,14,8.0,0.28878281622911695,0.05216501875213092,0.0017047391749062393,0.033071939993181046,0.007308684436801376,0.0869416979202182,0.16160927378111148
Jimmy Hurst,13,19,17,1,3,1,0,1,1,0,0,2,6,0.17600000000000002,0.263,0.41200000000000003,0.675,7,0,0,0,0,0.0,0.17647058823529413,0.058823529411764705,0.0,0.058823529411764705,0.0,0.11764705882352941,0.35294117647058826,Jimmy Hurst,43,127,111,8,23,3,0,5,15,0,0,16,37,0.0,0.0,0.0,0.0,41,3,0,0,0,0.0,0.2072072072072072,0.02702702702702703,0.0,0.04504504504504504,0.0,0.14414414414414414,0.3333333333333333
Andy Sheets,356,1073,960,118,207,38,3,19,113,16,7,76,275,0.21600000000000003,0.271,0.321,0.5920000000000001,308,15,2,23,12,3.0,0.215625,0.03958333333333333,0.003125,0.019791666666666666,0.004208311415044713,0.07916666666666666,0.2864583333333333,Andy Sheets,682,2957,2694,413,778,152,4,95,374,6,10,216,626,0.289,0.342,0.45399999999999996,0.7959999999999999,1223,64,11,20,16,9.0,0.28878990348923533,0.05642167780252413,0.0014847809948032665,0.03526354862657758,0.0025795356835769563,0.0801781737193764,0.2323682256867112
Chris Latham,110,240,213,34,43,5,1,3,19,9,3,23,85,0.20199999999999999,0.28,0.27699999999999997,0.557,59,1,1,1,2,1.0,0.20187793427230047,0.023474178403755867,0.004694835680751174,0.014084507042253521,0.002367175170962651,0.107981220657277,0.39906103286384975,Chris Latham,60,146,131,21,29,6,1,7,17,4,2,14,59,0.221,0.301,0.44299999999999995,0.7440000000000001,58,0,1,0,0,1.0,0.22137404580152673,0.04580152671755725,0.007633587786259542,0.05343511450381679,0.0017196904557179708,0.10687022900763359,0.45038167938931295
Mike Kinkade,222,491,429,56,110,20,1,13,48,5,4,34,89,0.256,0.35,0.39899999999999997,0.7490000000000001,171,19,28,0,0,2.0,0.2564102564102564,0.046620046620046623,0.002331002331002331,0.030303030303030304,0.0013150973172014729,0.07925407925407925,0.20745920745920746,Mike Kinkade,26,102,86,13,20,1,1,3,7,1,0,4,19,0.233,0.353,0.37200000000000005,0.725,32,6,12,0,0,0.0,0.23255813953488372,0.011627906976744186,0.011627906976744186,0.03488372093023256,0.0004299226139294927,0.046511627906976744,0.22093023255813954
Greg LaRocca,39,100,88,16,23,6,1,0,6,1,0,8,11,0.261,0.337,0.35200000000000004,0.6890000000000001,31,2,2,2,0,0.0,0.26136363636363635,0.06818181818181818,0.011363636363636364,0.0,0.0002630194634402946,0.09090909090909091,0.125,Greg LaRocca,583,2375,2068,322,600,111,3,123,372,15,10,183,290,0.29,0.376,0.525,0.9009999999999999,1086,47,109,0,15,10.0,0.2901353965183752,0.05367504835589942,0.0014506769825918763,0.059477756286266927,0.006448839208942391,0.08849129593810445,0.1402321083172147
Tuffy Rhodes,225,675,590,74,132,29,3,13,44,14,7,74,121,0.22399999999999998,0.31,0.349,0.659,206,7,2,4,5,7.0,0.22372881355932203,0.04915254237288136,0.005084745762711864,0.022033898305084745,0.003682272488164124,0.12542372881355932,0.20508474576271185,Tuffy Rhodes,1674,7319,6274,1100,1792,311,7,464,1269,87,34,958,1655,0.28600000000000003,0.381,0.5589999999999999,0.94,3509,130,40,0,47,77.0,0.2856232068855595,0.049569652534268406,0.0011157156518967167,0.07395600892572521,0.037403267411865865,0.1526936563595792,0.263787057698438
Shane Spencer,538,1867,1671,208,438,84,8,59,242,13,11,152,357,0.262,0.326,0.428,0.754,715,23,17,4,23,4.0,0.2621184919210054,0.05026929982046679,0.0047875523638539795,0.0353081986834231,0.0034192530247238295,0.09096349491322561,0.21364452423698385,Shane Spencer,167,428,384,39,91,21,0,15,50,1,1,40,103,0.237,0.308,0.409,0.7170000000000001,157,8,1,0,3,0.0,0.23697916666666666,0.0546875,0.0,0.0390625,0.0004299226139294927,0.10416666666666667,0.2682291666666667
Adam Riggs,61,171,153,18,33,9,1,3,10,6,2,16,30,0.21600000000000003,0.29,0.34600000000000003,0.636,53,5,0,2,0,1.0,0.21568627450980393,0.058823529411764705,0.006535947712418301,0.0196078431372549,0.0015781167806417674,0.10457516339869281,0.19607843137254902,Adam Riggs,316,1218,1133,180,318,72,1,59,168,15,6,65,244,0.281,0.327,0.502,0.8290000000000001,569,23,15,0,5,1.0,0.28067078552515445,0.06354810238305383,0.00088261253309797,0.05207413945278023,0.006448839208942391,0.05736981465136805,0.21535745807590467
Kevin Witt,146,424,399,38,93,12,0,15,41,1,1,19,108,0.233,0.267,0.376,0.643,150,6,1,1,4,0.0,0.23308270676691728,0.03007518796992481,0.0,0.03759398496240601,0.0002630194634402946,0.047619047619047616,0.2706766917293233,Kevin Witt,65,199,179,16,31,1,2,10,22,0,0,17,70,0.17300000000000001,0.24600000000000002,0.369,0.615,66,6,1,0,2,1.0,0.17318435754189945,0.00558659217877095,0.0111731843575419,0.055865921787709494,0.0,0.09497206703910614,0.39106145251396646
Gabe Kapler,1104,3314,2983,443,799,176,16,82,386,77,30,269,480,0.268,0.32899999999999996,0.42,0.7490000000000001,1253,68,17,20,25,6.0,0.26785115655380487,0.05900100569896078,0.0053637277908146165,0.027489104927924907,0.020252498684902684,0.09017767348307074,0.16091183372443849,Gabe Kapler,38,120,111,11,17,1,1,3,6,2,0,9,19,0.153,0.217,0.261,0.478,29,4,0,0,0,0.0,0.15315315315315314,0.009009009009009009,0.009009009009009009,0.02702702702702703,0.0008598452278589854,0.08108108108108109,0.17117117117117117
Joe Dillon,137,246,217,35,57,12,2,3,19,1,0,22,47,0.263,0.344,0.37799999999999995,0.722,82,7,5,2,0,0.0,0.2626728110599078,0.055299539170506916,0.009216589861751152,0.013824884792626729,0.0002630194634402946,0.10138248847926268,0.21658986175115208,Joe Dillon,31,95,87,9,17,3,1,2,7,0,0,8,17,0.195,0.263,0.322,0.585,28,4,0,0,0,0.0,0.19540229885057472,0.034482758620689655,0.011494252873563218,0.022988505747126436,0.0,0.09195402298850575,0.19540229885057472
Aaron Guiel,307,1099,970,151,239,58,0,35,128,8,12,83,218,0.24600000000000002,0.322,0.414,0.736,402,15,30,5,11,2.0,0.2463917525773196,0.05979381443298969,0.0,0.03608247422680412,0.0021041557075223566,0.08556701030927835,0.22474226804123712,Aaron Guiel,441,1701,1411,203,330,64,1,90,239,6,6,211,385,0.23399999999999999,0.35700000000000004,0.47200000000000003,0.8290000000000001,666,19,67,0,12,12.0,0.23387668320340185,0.04535790219702339,0.0007087172218284905,0.06378454996456413,0.0025795356835769563,0.14953933380581147,0.27285613040396883
Luis Gonzalez,291,950,875,100,248,51,3,23,98,5,10,39,157,0.28300000000000003,0.321,0.42700000000000005,0.7490000000000001,374,15,12,19,5,1.0,0.2834285714285714,0.05828571428571429,0.0034285714285714284,0.026285714285714287,0.0013150973172014729,0.044571428571428574,0.17942857142857144,Luis Gonzalez,57,207,187,24,53,11,0,5,29,0,0,9,35,0.28300000000000003,0.332,0.42200000000000004,0.754,79,7,6,2,3,0.0,0.28342245989304815,0.058823529411764705,0.0,0.026737967914438502,0.0,0.0481283422459893,0.18716577540106952
Damon Hollins,256,762,712,85,172,39,1,28,86,11,5,42,134,0.242,0.284,0.41700000000000004,0.701,297,12,1,4,3,1.0,0.24157303370786518,0.054775280898876406,0.0014044943820224719,0.03932584269662921,0.0028932140978432403,0.05898876404494382,0.18820224719101122,Damon Hollins,124,407,370,43,95,23,1,12,45,2,2,33,85,0.257,0.318,0.42200000000000004,0.7390000000000001,156,10,1,1,2,4.0,0.25675675675675674,0.062162162162162166,0.002702702702702703,0.032432432432432434,0.0008598452278589854,0.0891891891891892,0.22972972972972974
Lew Ford,519,1795,1585,235,425,83,10,35,176,48,10,154,249,0.268,0.345,0.39899999999999997,0.7440000000000001,633,37,37,7,12,5.0,0.26813880126182965,0.05236593059936909,0.006309148264984227,0.022082018927444796,0.01262493424513414,0.0971608832807571,0.15709779179810726,Lew Ford,82,273,244,22,57,15,1,5,29,0,1,20,50,0.23399999999999999,0.304,0.365,0.669,89,13,6,0,3,0.0,0.2336065573770492,0.06147540983606557,0.004098360655737705,0.020491803278688523,0.0,0.08196721311475409,0.20491803278688525
Scott Seabol,60,115,106,11,23,5,0,1,10,0,0,8,23,0.217,0.27,0.292,0.562,31,1,0,0,1,0.0,0.2169811320754717,0.04716981132075472,0.0,0.009433962264150943,0.0,0.07547169811320754,0.2169811320754717,Scott Seabol,150,573,527,34,136,21,2,19,64,1,3,36,106,0.258,0.311,0.414,0.7240000000000001,218,13,6,0,4,0.0,0.25806451612903225,0.03984819734345351,0.003795066413662239,0.036053130929791274,0.0004299226139294927,0.0683111954459203,0.20113851992409867
Larry Bigbie,392,1367,1227,164,328,56,4,31,137,25,8,119,302,0.267,0.331,0.395,0.726,485,15,2,10,9,5.0,0.267318663406683,0.045639771801140996,0.0032599837000814994,0.02526487367563162,0.006575486586007364,0.09698451507742462,0.24612876935615322,Larry Bigbie,84,277,250,30,62,14,0,10,36,1,0,22,76,0.248,0.314,0.424,0.738,106,8,3,0,2,0.0,0.248,0.056,0.0,0.04,0.0004299226139294927,0.088,0.304
Kevin Mench,729,2597,2362,311,632,150,14,89,331,12,6,183,335,0.268,0.324,0.456,0.78,1077,32,27,2,23,15.0,0.26756985605419137,0.06350550381033022,0.0059271803556308214,0.03767993226079593,0.003156233561283535,0.07747671464860288,0.1418289585097375,Kevin Mench,38,130,118,11,30,7,0,3,14,2,1,10,15,0.254,0.315,0.39,0.705,46,3,1,0,1,0.0,0.2542372881355932,0.059322033898305086,0.0,0.025423728813559324,0.0008598452278589854,0.0847457627118644,0.1271186440677966
Jamie D'Antona,18,19,17,2,3,0,0,0,1,0,0,2,4,0.17600000000000002,0.263,0.17600000000000002,0.44,3,0,0,0,0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.11764705882352941,0.23529411764705882,Jamie D'Antona,217,761,685,72,180,36,0,36,133,0,0,62,209,0.263,0.322,0.473,0.795,324,19,3,0,11,2.0,0.26277372262773724,0.052554744525547446,0.0,0.052554744525547446,0.0,0.0905109489051095,0.3051094890510949
Dan Johnson,443,1625,1382,179,324,61,2,57,203,1,1,214,244,0.23399999999999999,0.335,0.405,0.741,560,35,7,0,22,8.0,0.23444283646888567,0.04413892908827786,0.001447178002894356,0.04124457308248915,0.0002630194634402946,0.1548480463096961,0.17655571635311143,Dan Johnson,117,382,325,43,70,6,1,24,57,0,0,52,78,0.215,0.33,0.462,0.7909999999999999,150,10,4,0,1,1.0,0.2153846153846154,0.018461538461538463,0.003076923076923077,0.07384615384615385,0.0,0.16,0.24
Edgardo Alfonzo,1506,6108,5385,777,1532,282,18,146,744,53,17,596,617,0.284,0.35700000000000004,0.425,0.782,2288,110,41,31,55,22.0,0.28449396471680594,0.05236768802228412,0.003342618384401114,0.02711234911792015,0.013940031562335612,0.11067780872794801,0.11457753017641598,Edgardo Alfonzo,53,124,111,10,28,3,0,5,16,0,0,12,16,0.252,0.32299999999999995,0.414,0.737,46,2,0,0,1,0.0,0.25225225225225223,0.02702702702702703,0.0,0.04504504504504504,0.0,0.10810810810810811,0.14414414414414414
Matt Murton,346,1058,952,134,272,46,5,29,112,10,3,93,149,0.28600000000000003,0.35200000000000004,0.436,0.7879999999999999,415,27,6,3,4,5.0,0.2857142857142857,0.04831932773109244,0.005252100840336135,0.03046218487394958,0.0026301946344029457,0.0976890756302521,0.1565126050420168,Matt Murton,832,3534,3287,369,1020,173,7,77,417,27,21,208,424,0.31,0.35200000000000004,0.43700000000000006,0.79,1438,106,16,1,22,8.0,0.31031335564344387,0.05263157894736842,0.0021296014602981443,0.023425616063279586,0.011607910576096303,0.06327958624885914,0.12899300273805903
Jeff Fiorentino,58,173,148,23,40,5,0,1,21,4,0,17,29,0.27,0.341,0.324,0.6659999999999999,48,2,1,3,4,0.0,0.2702702702702703,0.033783783783783786,0.0,0.006756756756756757,0.0010520778537611783,0.11486486486486487,0.19594594594594594,Jeff Fiorentino,97,292,250,22,66,10,0,6,31,2,1,36,58,0.264,0.36200000000000004,0.376,0.738,94,6,3,2,1,1.0,0.264,0.04,0.0,0.024,0.0008598452278589854,0.144,0.232
Justin Huber,72,175,161,14,36,7,0,2,15,1,0,9,45,0.22399999999999998,0.276,0.304,0.58,49,2,3,1,1,0.0,0.2236024844720497,0.043478260869565216,0.0,0.012422360248447204,0.0002630194634402946,0.055900621118012424,0.2795031055900621,Justin Huber,80,209,177,20,39,7,0,7,17,0,0,25,42,0.22,0.34,0.379,0.718,67,6,7,0,0,0.0,0.22033898305084745,0.03954802259887006,0.0,0.03954802259887006,0.0,0.14124293785310735,0.23728813559322035
Edgar Gonzalez,193,522,478,54,122,23,2,11,51,2,5,36,112,0.255,0.312,0.381,0.693,182,16,5,0,3,1.0,0.25523012552301255,0.04811715481171548,0.0041841004184100415,0.02301255230125523,0.0005260389268805891,0.07531380753138076,0.23430962343096234,Edgar Gonzalez,157,517,463,39,117,30,1,16,63,2,4,47,113,0.253,0.32299999999999995,0.425,0.748,197,13,2,3,2,3.0,0.2526997840172786,0.06479481641468683,0.0021598272138228943,0.03455723542116631,0.0008598452278589854,0.10151187904967603,0.24406047516198703
Joel Guzman,24,62,56,7,13,1,2,0,7,0,0,5,12,0.23199999999999998,0.306,0.321,0.628,18,4,1,0,0,0.0,0.23214285714285715,0.017857142857142856,0.03571428571428571,0.0,0.0,0.08928571428571429,0.21428571428571427,Joel Guzman,98,333,312,26,64,11,0,9,25,0,0,15,100,0.205,0.249,0.327,0.5760000000000001,102,7,4,0,2,0.0,0.20512820512820512,0.035256410256410256,0.0,0.028846153846153848,0.0,0.04807692307692308,0.32051282051282054
Brian Barden,119,193,175,21,37,4,0,4,14,0,2,11,44,0.21100000000000002,0.268,0.303,0.5710000000000001,53,5,3,3,1,0.0,0.21142857142857144,0.022857142857142857,0.0,0.022857142857142857,0.0,0.06285714285714286,0.25142857142857145,Brian Barden,95,346,304,24,79,14,0,4,26,0,1,34,70,0.26,0.344,0.345,0.6890000000000001,105,3,6,0,2,0.0,0.2598684210526316,0.046052631578947366,0.0,0.013157894736842105,0.0,0.1118421052631579,0.23026315789473684
Chad Tracy,938,2988,2706,317,741,172,9,86,358,11,7,233,473,0.27399999999999997,0.33299999999999996,0.439,0.772,1189,53,19,3,27,28.0,0.2738359201773836,0.06356245380635625,0.0033259423503325942,0.031781226903178125,0.0028932140978432403,0.0861049519586105,0.17479674796747968,Chad Tracy,40,164,149,10,35,12,0,1,19,0,0,11,34,0.235,0.293,0.336,0.628,50,7,2,0,2,0.0,0.2348993288590604,0.08053691275167785,0.0,0.006711409395973154,0.0,0.0738255033557047,0.22818791946308725
Josh Fields,217,796,713,95,167,25,3,34,107,3,4,69,235,0.23399999999999999,0.303,0.42100000000000004,0.7240000000000001,300,17,3,8,3,0.0,0.23422159887798036,0.03506311360448808,0.004207573632538569,0.047685834502103785,0.0007890583903208837,0.0967741935483871,0.32959326788218796,Josh Fields,55,166,153,15,31,5,1,6,19,1,1,9,43,0.203,0.259,0.366,0.625,56,2,3,0,1,0.0,0.20261437908496732,0.032679738562091505,0.006535947712418301,0.0392156862745098,0.0004299226139294927,0.058823529411764705,0.28104575163398693
Rusty Ryal,134,290,266,30,70,13,3,6,20,0,3,14,88,0.263,0.318,0.402,0.721,107,3,8,1,1,1.0,0.2631578947368421,0.04887218045112782,0.011278195488721804,0.022556390977443608,0.0,0.05263157894736842,0.3308270676691729,Rusty Ryal,67,201,190,17,43,10,2,3,21,2,1,5,57,0.226,0.26899999999999996,0.34700000000000003,0.616,66,3,6,0,0,0.0,0.22631578947368422,0.05263157894736842,0.010526315789473684,0.015789473684210527,0.0008598452278589854,0.02631578947368421,0.3
Brad Eldred,90,299,276,31,56,12,1,15,34,1,1,17,109,0.203,0.258,0.41700000000000004,0.674,115,6,4,0,2,1.0,0.2028985507246377,0.043478260869565216,0.0036231884057971015,0.05434782608695652,0.0002630194634402946,0.06159420289855073,0.39492753623188404,Brad Eldred,577,2169,1918,239,496,79,0,133,370,7,2,204,616,0.259,0.337,0.508,0.8440000000000001,974,39,30,0,17,5.0,0.2586027111574557,0.04118873826903024,0.0,0.06934306569343066,0.0030094582975064487,0.10636079249217935,0.32116788321167883
Lastings Milledge,433,1659,1500,166,404,73,8,33,167,40,20,104,287,0.26899999999999996,0.32799999999999996,0.395,0.723,592,40,33,11,11,10.0,0.2693333333333333,0.048666666666666664,0.005333333333333333,0.022,0.010520778537611783,0.06933333333333333,0.19133333333333333,Lastings Milledge,255,1097,965,135,262,48,2,39,129,16,12,110,155,0.272,0.348,0.447,0.795,431,28,8,6,8,7.0,0.27150259067357513,0.049740932642487044,0.002072538860103627,0.04041450777202073,0.006878761822871883,0.11398963730569948,0.16062176165803108
Randy Ruiz,68,238,217,41,59,11,0,12,25,2,1,16,67,0.272,0.332,0.488,0.82,106,7,4,0,1,1.0,0.271889400921659,0.05069124423963134,0.0,0.055299539170506916,0.0005260389268805891,0.07373271889400922,0.3087557603686636,Randy Ruiz,151,512,472,51,113,23,0,20,60,0,0,36,178,0.239,0.297,0.415,0.7120000000000001,196,13,3,0,1,1.0,0.23940677966101695,0.048728813559322036,0.0,0.0423728813559322,0.0,0.07627118644067797,0.3771186440677966
John Bowker,240,622,574,54,133,25,5,17,73,2,3,39,136,0.23199999999999998,0.28300000000000003,0.382,0.664,219,11,4,0,5,4.0,0.23170731707317074,0.04355400696864112,0.008710801393728223,0.029616724738675958,0.0005260389268805891,0.06794425087108014,0.23693379790940766,John Bowker,239,729,669,57,160,39,5,24,78,5,0,46,188,0.239,0.294,0.42,0.7140000000000001,281,20,8,2,4,4.0,0.23916292974588937,0.05829596412556054,0.007473841554559043,0.03587443946188341,0.0021496130696474634,0.0687593423019432,0.28101644245142005
Matt Clark,16,31,27,4,5,0,0,3,7,0,0,2,8,0.185,0.226,0.519,0.7440000000000001,14,1,0,0,2,2.0,0.18518518518518517,0.0,0.0,0.1111111111111111,0.0,0.07407407407407407,0.2962962962962963,Matt Clark,143,501,436,59,102,15,0,27,74,0,0,54,141,0.23399999999999999,0.325,0.45399999999999996,0.779,198,7,7,0,4,1.0,0.23394495412844038,0.034403669724770644,0.0,0.06192660550458716,0.0,0.12385321100917432,0.32339449541284404
Hector Luna,339,867,794,104,208,41,6,15,96,23,11,55,159,0.262,0.314,0.385,0.6990000000000001,306,14,8,3,7,1.0,0.2619647355163728,0.05163727959697733,0.007556675062972292,0.018891687657430732,0.006049447659126775,0.06926952141057935,0.20025188916876574,Hector Luna,413,1715,1535,222,474,82,10,39,218,29,2,156,279,0.309,0.374,0.451,0.826,693,39,12,0,12,7.0,0.3087947882736156,0.053420195439739415,0.006514657980456026,0.025407166123778503,0.012467755803955288,0.10162866449511401,0.18175895765472314
Brook Conrad,293,515,460,57,92,24,3,19,73,7,1,43,166,0.2,0.271,0.389,0.66,179,4,3,6,3,3.0,0.2,0.05217391304347826,0.006521739130434782,0.041304347826086954,0.001841136244082062,0.09347826086956522,0.36086956521739133,Brook Conrad,76,269,233,26,49,11,0,6,24,3,0,29,78,0.21,0.316,0.335,0.6509999999999999,78,3,7,0,0,2.0,0.21030042918454936,0.04721030042918455,0.0,0.02575107296137339,0.0012897678417884782,0.12446351931330472,0.33476394849785407
Kila Ka'aihue,126,465,411,45,91,19,1,15,46,1,1,49,95,0.221,0.305,0.382,0.687,157,14,1,2,2,2.0,0.22141119221411193,0.046228710462287104,0.0024330900243309003,0.0364963503649635,0.0002630194634402946,0.1192214111922141,0.23114355231143552,Kila Ka'aihue,154,600,512,56,132,20,0,25,85,0,0,77,150,0.258,0.358,0.44299999999999995,0.802,227,6,6,0,5,0.0,0.2578125,0.0390625,0.0,0.048828125,0.0,0.150390625,0.29296875
Fred Lewis,535,1763,1562,261,415,91,21,27,136,53,23,170,390,0.266,0.344,0.40299999999999997,0.747,629,23,21,3,7,10.0,0.26568501920614596,0.05825864276568502,0.013444302176696543,0.017285531370038413,0.013940031562335612,0.1088348271446863,0.2496798975672215,Fred Lewis,110,412,362,52,107,26,1,6,33,18,4,43,94,0.29600000000000004,0.374,0.423,0.7959999999999999,153,8,4,0,3,0.0,0.2955801104972376,0.0718232044198895,0.0027624309392265192,0.016574585635359115,0.007738607050730868,0.11878453038674033,0.2596685082872928
