player in MLB,G_MLB,PA_MLB,AB_MLB,R_MLB,H_MLB,2B_MLB,3B_MLB,HR_MLB,RBI_MLB,SB_MLB,CS_MLB,BB_MLB,SO_MLB,BA_MLB,OBP_MLB,SLG_MLB,OPS_MLB,TB_MLB,GDP_MLB,HBP_MLB,SH_MLB,SF_MLB,IBB_MLB,HitperABMLB,TwoBaseHitABMLB,ThreeBaseHitABMLB,HRperABMLB,StolenBasePercentageMLB,BaseOnBallPercentageMLB,StrikeoutPercentageMLB,player in NPB,G_NPB,PA_NPB,AB_NPB,R_NPB,H_NPB,2B_NPB,3B_NPB,HR_NPB,RBI_NPB,SB_NPB,CS_NPB,BB_NPB,SO_NPB,BA_NPB,OBP_NPB,SLG_NPB,OPS_NPB,TB_NPB,GDP_NPB,HBP_NPB,SH_NPB,SF_NPB,IBB_NPB,HitperABNPB,TwoBaseHitABNPB,ThreeBaseHitABNPB,HRperABNPB,StolenBasePercentageNPB,BaseOnBallPercentageNPB,StrikeoutPercentageNPB
Zach Lutz,22,37,31,3,7,2,0,0,2,0,0,6,11,0.226,0.35100000000000003,0.29,0.642,9,1,0,0,0,0.0,0.22580645161290322,0.06451612903225806,0.0,0.0,0.0,0.1935483870967742,0.3548387096774194,Zach Lutz,15,58,51,11,16,3,0,5,18,1,0,4,7,0.314,0.379,0.667,1.046,34,2,2,0,1,0.0,0.3137254901960784,0.058823529411764705,0.0,0.09803921568627451,0.0004299226139294927,0.0784313725490196,0.13725490196078433
Kevin Youkilis,1061,4436,3749,653,1053,254,18,150,618,26,14,539,828,0.281,0.382,0.478,0.861,1793,74,104,0,44,22.0,0.2808748999733262,0.06775140037343291,0.00480128034142438,0.04001066951186983,0.006838506049447659,0.1437716724459856,0.22085889570552147,Kevin Youkilis,21,79,65,6,14,4,0,1,11,0,0,12,23,0.215,0.342,0.32299999999999995,0.665,21,1,1,0,1,0.0,0.2153846153846154,0.06153846153846154,0.0,0.015384615384615385,0.0,0.18461538461538463,0.35384615384615387
Jeremy Hermida,632,2261,2012,248,517,104,9,65,250,22,8,216,517,0.257,0.33399999999999996,0.415,0.7490000000000001,834,40,21,4,8,16.0,0.25695825049701787,0.05168986083499006,0.0044731610337972166,0.03230616302186879,0.005786428195686481,0.1073558648111332,0.25695825049701787,Jeremy Hermida,59,221,190,12,36,9,1,1,19,1,1,28,69,0.18899999999999997,0.303,0.263,0.5660000000000001,50,1,3,0,0,0.0,0.18947368421052632,0.04736842105263158,0.005263157894736842,0.005263157894736842,0.0004299226139294927,0.14736842105263157,0.3631578947368421
Brandon Laird,53,138,127,12,25,4,0,6,16,0,0,8,38,0.19699999999999998,0.255,0.37,0.626,47,4,2,1,0,0.0,0.1968503937007874,0.031496062992125984,0.0,0.047244094488188976,0.0,0.06299212598425197,0.2992125984251969,Brandon Laird,822,3332,2975,353,732,109,5,192,526,1,2,291,752,0.24600000000000002,0.318,0.48,0.7979999999999999,1427,98,37,0,29,0.0,0.24605042016806722,0.03663865546218487,0.0016806722689075631,0.06453781512605042,0.0004299226139294927,0.09781512605042017,0.2527731092436975
Tony Blanco,56,65,62,7,11,3,0,1,7,1,0,2,19,0.177,0.215,0.27399999999999997,0.49,17,0,1,0,0,0.0,0.1774193548387097,0.04838709677419355,0.0,0.016129032258064516,0.0002630194634402946,0.03225806451612903,0.3064516129032258,Tony Blanco,750,3027,2668,366,725,108,1,181,542,4,3,290,755,0.272,0.35100000000000003,0.516,0.868,1378,60,48,0,21,17.0,0.2717391304347826,0.04047976011994003,0.0003748125937031484,0.06784107946026986,0.0017196904557179708,0.10869565217391304,0.28298350824587704
Gaby Sanchez,700,2270,1998,236,508,126,4,61,266,12,1,225,368,0.254,0.332,0.413,0.7440000000000001,825,55,18,5,24,9.0,0.25425425425425424,0.06306306306306306,0.002002002002002002,0.03053053053053053,0.003156233561283535,0.11261261261261261,0.1841841841841842,Gaby Sanchez,100,360,306,35,77,21,0,12,35,3,2,46,54,0.252,0.353,0.43799999999999994,0.7909999999999999,134,6,4,0,4,0.0,0.25163398692810457,0.06862745098039216,0.0,0.0392156862745098,0.0012897678417884782,0.1503267973856209,0.17647058823529413
Zelous Wheeler,29,62,57,6,11,0,0,2,5,0,0,2,12,0.193,0.23,0.298,0.528,17,1,1,1,1,0.0,0.19298245614035087,0.0,0.0,0.03508771929824561,0.0,0.03508771929824561,0.21052631578947367,Zelous Wheeler,787,3031,2691,328,711,129,2,129,426,22,14,265,585,0.264,0.33899999999999997,0.457,0.7959999999999999,1231,85,51,0,24,11.0,0.26421404682274247,0.04793756967670011,0.0007432181345224824,0.04793756967670011,0.009458297506448839,0.09847640282422891,0.21739130434782608
Yamaico Navarro,79,199,180,19,37,3,1,2,20,0,2,14,52,0.20600000000000002,0.258,0.267,0.524,48,3,0,1,4,1.0,0.20555555555555555,0.016666666666666666,0.005555555555555556,0.011111111111111112,0.0,0.07777777777777778,0.28888888888888886,Yamaico Navarro,82,340,286,38,62,6,1,10,44,0,3,49,64,0.217,0.32899999999999996,0.35,0.679,100,5,1,0,4,0.0,0.21678321678321677,0.02097902097902098,0.0034965034965034965,0.03496503496503497,0.0,0.17132867132867133,0.22377622377622378
Brian Bogusevic,321,833,748,93,178,36,4,19,67,24,7,72,204,0.23800000000000002,0.311,0.373,0.684,279,21,9,1,3,3.0,0.23796791443850268,0.0481283422459893,0.0053475935828877,0.02540106951871658,0.00631246712256707,0.0962566844919786,0.2727272727272727,Brian Bogusevic,112,409,364,49,98,26,2,12,46,11,3,36,86,0.26899999999999996,0.35,0.451,0.8,164,7,9,0,0,1.0,0.2692307692307692,0.07142857142857142,0.005494505494505495,0.03296703296703297,0.004729148753224419,0.0989010989010989,0.23626373626373626
Brent Morel,220,717,662,72,150,26,1,13,59,12,6,40,132,0.22699999999999998,0.273,0.32799999999999996,0.601,217,15,3,10,2,1.0,0.22658610271903323,0.03927492447129909,0.0015105740181268882,0.019637462235649546,0.003156233561283535,0.06042296072507553,0.19939577039274925,Brent Morel,132,458,406,38,102,21,0,9,49,2,2,42,116,0.251,0.32799999999999996,0.369,0.6970000000000001,150,13,6,0,4,0.0,0.2512315270935961,0.05172413793103448,0.0,0.022167487684729065,0.0008598452278589854,0.10344827586206896,0.2857142857142857
